country,lowest_population,lowest_population_year,highest_population,highest_population_year,percent_change_2020_2100
Tanzania,62774619,2020,303831815,2100,384.0
Thailand,47535689,2100,69685486,2025,-31.52
Timor-Leste,1381400,2020,3847760,2100,178.54
Togo,8384291,2020,25246548,2100,201.12
Tonga,111037,2020,158212,2095,42.49
Trinidad and Tobago,982905,2100,1380806,2025,-28.66
Tunisia,11903136,2020,14063520,2060,11.91
Turkey,83835750,2020,96221010,2060,2.31
Turkmenistan,6031195,2020,8444898,2085,38.02
Tuvalu,11499,2020,17579,2100,52.87
Uganda,47187703,2020,213758214,2100,353.0
Ukraine,28185563,2100,43579234,2020,-35.32
United Arab Emirates,9813170,2020,14795228,2095,50.58
United Kingdom,67334208,2020,80975491,2100,20.26
United States,331431534,2020,447483156,2100,35.02
Uruguay,3229220,2100,3662437,2050,-7.59
Uzbekistan,33235825,2020,41497995,2060,14.76
Vanuatu,293934,2020,674676,2100,129.53
Venezuela,33172392,2020,43387097,2075,25.53
Palestine,5322629,2020,15114548,2100,183.97
Vietnam,98360145,2020,115727991,2060,9.44
Yemen,30245305,2020,55086108,2080,77.0
Zambia,18679273,2020,94409602,2100,405.42
Zimbabwe,17680465,2020,40687107,2100,130.12
South Sudan,13610007,2020,42794448,2100,214.43
